"Name","Industry Level","BGB CP","Total CP","Preferred Outermost","Stick Group","","","Updated At: 2026-09-03 17:44 KST"
"Dubai88","8","267,270,503","1,618,239,833","TRUE","Kagura","","",""
"Sunflowerseeds","8","249,892,560","1,069,703,255","FALSE","Em","","",""
"XoD","8","236,218,702","1,316,604,364","FALSE","XoD","","",""
"Ck360","8","172,505,456","925,029,531","TRUE","Ditto","","",""
"Kagura Forger","8","158,470,758","1,414,314,180","TRUE","Kagura","","",""
"• Celine •","8","147,096,598","1,339,180,640","FALSE","XoD","","",""
"Emeraldream","8","133,757,299","950,544,530","FALSE","Em","","",""
"GreenCosmos","8","107,682,926","1,014,809,875","FALSE","Cosmos","","",""
"Anya Forger","8","96,485,403","1,072,056,513","TRUE","Kagura","","",""
"Aaryan÷아아르얀","8","91,917,202","1,140,282,547","FALSE","Yam","","",""
"KubiKiri","8","90,565,412","984,691,180","FALSE","","","",""
"krypton21","8","85,492,911","1,008,202,950","FALSE","Kagura","","",""
"Mirkoo","8","82,714,230","1,073,229,400","FALSE","","","",""
"DïttoTokkï","8","81,246,144","990,363,054","TRUE","Ditto","","",""
"Dudu • 듀듀","8","67,775,645","881,430,437","FALSE","XoD","","",""
"JoN Snow","8","67,773,572","995,031,231","TRUE","Jon","","",""
"Müiki Armi","8","61,287,308","933,097,661","TRUE","","","",""
"°miyaong°","8","56,823,628","1,011,451,953","FALSE","","","",""
"° miïèckå °","7","56,334,548","913,161,066","FALSE","","","",""
"Sorxas","8","55,631,675","853,532,642","FALSE","Crisis","","",""
"BlessTheBess","8","54,237,256","793,475,286","FALSE","","","",""
"一條","6","53,477,069","1,036,318,498","FALSE","","","",""
"K-Terminator","8","53,294,915","774,691,796","FALSE","","","",""
"JAÍNA","7","51,448,693","736,907,107","FALSE","Cengiz","","",""
"Straw-빨대","7","49,263,430","987,481,851","FALSE","Naki","","",""
"Balbazar09","7","49,031,694","733,455,599","TRUE","Cengiz","","",""
"KardanDavar","6","46,951,772","1,018,316,199","TRUE","Em","","",""
"ČĕNGiZ ĤÃÑ","7","45,384,564","847,446,044","FALSE","Cengiz","","",""
"Dràconiía","7","43,701,847","770,656,781","FALSE","","","",""
"고추바사삭Goba","6","42,625,552","968,779,695","FALSE","Goba","","",""
"Hacienda Hattori","7","42,203,846","873,839,927","FALSE","","","",""
"Crami •","8","41,553,462","789,842,465","TRUE","Lucifer","","",""
"Red Bull S","7","40,972,257","924,574,626","FALSE","","","",""
"Latinopoulou1985","7","40,180,924","877,007,121","FALSE","Cosmos","","",""
"LEOOO0","6","39,851,246","706,590,057","FALSE","Saki","","",""
"• Lucifér •","7","39,817,061","851,309,005","FALSE","Lucifer","","",""
"Danï","7","38,742,025","791,532,780","FALSE","Cosmos","","",""
"Hostile Crisis","6","37,805,178","747,307,093","FALSE","Crisis","","",""
"- Apollo G -","6","36,245,588","864,989,286","TRUE","Yam","","",""
"ǝYamɐ","5","35,718,088","625,983,743","TRUE","Yam","","",""
"SandySQ","8","35,486,818","901,437,838","FALSE","","","",""
"CaMilla","7","35,247,946","765,084,098","FALSE","Cosmos","","",""
"LeXxy","6","34,971,692","737,632,435","FALSE","XoD","","",""
"YyEON • 연","7","33,762,975","826,335,889","FALSE","Naki","","",""
"• Rosé •","6","32,555,305","704,489,307","FALSE","Jon","","",""
"MsAyase","5","32,306,357","695,272,704","FALSE","MsAyase","","",""
"SakiRD","5","31,566,541","605,185,600","TRUE","Saki","","",""
"Amiiiiit","5","31,321,001","719,903,188","FALSE","Jon","","",""
"JamsBong007","5","30,824,625","684,702,650","FALSE","","","",""
"jasamjaína","5","30,647,118","601,816,613","TRUE","Cengiz","","",""
"nana • 나나","6","29,201,885","716,349,158","FALSE","","","",""
"°Boogeyman","6","28,586,265","753,441,124","FALSE","","","",""
"Liraa","6","28,113,272","686,100,209","FALSE","","","",""
"Happy been","6","27,943,647","823,370,649","FALSE","","","",""
"iDrAtlas","6","27,846,045","717,406,952","FALSE","","","",""
"ChuckYTzy","5","27,077,073","692,148,762","FALSE","Chucky","","",""
"주로리","6","27,063,080","796,027,880","FALSE","","","",""
"NABULSI","4","26,971,954","705,712,407","FALSE","","","",""
"Arianne","5","26,639,721","675,256,647","FALSE","","","",""
"aALiyah","5","25,845,606","608,529,188","FALSE","","","",""
"ひなた¥","5","25,558,517","996,262,490","FALSE","","","",""
"• Witch •","4","24,409,035","646,859,685","FALSE","Jon","","",""
"JADE","5","23,885,652","868,611,321","FALSE","","","",""
"ProTein","5","23,429,942","628,915,031","FALSE","","","",""
"××GENOSSSSS××","4","23,143,315","765,048,511","FALSE","","","",""
"PreciousMF","5","22,872,633","635,729,256","FALSE","","","",""
"AccountForSale°","4","22,859,392","603,709,038","FALSE","MsAyase","","",""
"감ㅈㅏ빵","6","22,858,934","758,181,952","FALSE","Naki","","",""
"ChickyDzy","5","21,767,427","679,876,736","FALSE","Chucky","","",""
"Swindlerella","5","21,193,746","644,182,789","FALSE","Lucifer","","",""
"Kïeva","4","20,900,870","678,943,393","FALSE","Ditto","","",""
"calicooo","4","19,849,142","634,824,695","FALSE","","","",""
"Ahnmi","5","19,715,912","657,681,696","FALSE","","","",""
"ㅂ|ㄴ|","5","19,456,691","627,686,773","FALSE","","","",""
"polar bear • 곰","5","19,234,675","642,165,762","FALSE","","","",""
"Stinkycät","4","18,948,867","463,088,597","FALSE","Em","","",""
"kanlaon","5","18,331,146","628,819,424","FALSE","","","",""
"Mics Mad Eye","4","18,178,625","728,364,115","FALSE","","","",""
"qUiinACM소희","5","18,116,954","676,618,467","FALSE","Goba","","",""
"LoVivi","4","17,856,824","663,742,430","FALSE","Ditto","","",""
"RiSA","3","17,077,917","607,534,353","FALSE","","","",""
"Calemaro","4","17,023,653","772,118,705","FALSE","","","",""
"RexB","4","16,735,715","560,712,167","FALSE","","","",""
"차루 CHARU","4","16,628,187","701,119,318","FALSE","","","",""
"도도도치맘-dodo","4","16,120,143","685,869,137","FALSE","","","",""
"meimei","4","15,516,762","547,988,631","FALSE","","","",""
"Aibar92","3","13,189,036","537,112,566","FALSE","","","",""
"KeiN-정약용","3","12,635,235","462,259,378","FALSE","","","",""
"영Zero","5","12,628,079","688,495,328","FALSE","","","",""
"CHiMeRa","3","12,568,297","483,889,499","FALSE","Kagura","","",""
"Ashli","4","9,751,707","413,856,568","FALSE","","","",""
"iamyorbriarrr","3","8,831,185","477,444,939","FALSE","","","",""
"Deadcoffin","4","7,877,220","513,075,773","FALSE","","","",""
"Nelson Madrid","2","5,453,970","455,650,999","FALSE","","","",""
"GesteLLaaa","4","","509,080,835","FALSE","","","",""
"Moê","3","","644,401,487","FALSE","","","",""
"NaoXZecca","5","","593,047,933","FALSE","","","",""
"night catt","4","","505,037,451","FALSE","","","",""
